Overall Accuracy:  0.06318518518518519
Overall Precision:  0.0745303626037571
Overall Recall:  0.11666666666666667
Overall F1 Score:  0.09095548193000495


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(101)           | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| across(0)            |               nan |               nan |               nan |
| against(0)           | 0.000000000000000 |               nan | 0.000000000000000 |
| along(2)             | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| around(0)            | 0.000000000000000 |               nan | 0.000000000000000 |
| at_the_level_of(0)   | 0.000000000000000 |               nan | 0.000000000000000 |
| behind(140)          | 0.111111111111111 | 0.071428571428571 | 0.086956521739130 |
| beyond(0)            |               nan |               nan |               nan |
| below(33)            | 0.250000000000000 | 0.060606060606061 | 0.097560975609756 |
| far_from(0)          | 0.000000000000000 |               nan | 0.000000000000000 |
| in(33)               | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| in_front_of(63)      | 0.045833333333333 | 0.174603174603175 | 0.072607260726073 |
| near(58)             | 0.073099415204678 | 0.431034482758621 | 0.125000000000000 |
| next_to(114)         | 0.261627906976744 | 0.394736842105263 | 0.314685314685315 |
| none(0)              | 0.000000000000000 |               nan | 0.000000000000000 |
| on(283)              | 0.120000000000000 | 0.021201413427562 | 0.036036036036036 |
| opposite(0)          | 0.000000000000000 |               nan | 0.000000000000000 |
| outside_of(1)        | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| under(72)            | 0.038709677419355 | 0.083333333333333 | 0.052863436123348 |
------------------------------------------------------------------------------------
