Overall Accuracy:  0.44962952236140274
Overall Precision:  0.6482889733840305
Overall Recall:  0.5202905896266261
Overall F1 Score:  0.5772797383884103


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.428571428571429 | 0.056603773584906 | 0.100000000000000 |
| across(9)            |               nan | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.550000000000000 | 0.113989637305699 | 0.188841201716738 |
| along(18)            |               nan | 0.000000000000000 | 0.000000000000000 |
| around(12)           | 0.600000000000000 | 0.250000000000000 | 0.352941176470588 |
| at_the_level_of(316) | 0.482758620689655 | 0.354430379746835 | 0.408759124087591 |
| behind(504)          | 0.608591885441527 | 0.505952380952381 | 0.552546045503792 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            |               nan | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.562814070351759 | 0.462809917355372 | 0.507936507936508 |
| in(21)               | 0.666666666666667 | 0.190476190476190 | 0.296296296296296 |
| in_front_of(477)     | 0.655430711610487 | 0.366876310272537 | 0.470430107526882 |
| near(1048)           | 0.723221936589546 | 0.805343511450382 | 0.762076749435666 |
| next_to(695)         | 0.654220779220779 | 0.579856115107914 | 0.614797864225782 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.720000000000000 | 0.562500000000000 | 0.631578947368421 |
| opposite(121)        |               nan | 0.000000000000000 | 0.000000000000000 |
| outside_of(15)       | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| under(158)           | 0.601449275362319 | 0.525316455696203 | 0.560810810810811 |
------------------------------------------------------------------------------------
