Overall Accuracy:  0.5032184490623416
Overall Precision:  0.6915770609318996
Overall Recall:  0.5878611251900658
Overall F1 Score:  0.6355152966433499


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.285714285714286 | 0.075471698113208 | 0.119402985074627 |
| across(9)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.381818181818182 | 0.217616580310881 | 0.277227722772277 |
| along(18)            | 0.285714285714286 | 0.111111111111111 | 0.160000000000000 |
| around(12)           | 0.666666666666667 | 0.333333333333333 | 0.444444444444444 |
| at_the_level_of(316) | 0.512820512820513 | 0.253164556962025 | 0.338983050847458 |
| behind(504)          | 0.697104677060134 | 0.621031746031746 | 0.656873032528856 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.617391304347826 | 0.586776859504132 | 0.601694915254237 |
| in(21)               | 0.500000000000000 | 0.476190476190476 | 0.487804878048780 |
| in_front_of(477)     | 0.655555555555556 | 0.494758909853249 | 0.563918757467145 |
| near(1048)           | 0.748677248677249 | 0.810114503816794 | 0.778185151237397 |
| next_to(695)         | 0.679674796747967 | 0.601438848920863 | 0.638167938931298 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.884615384615385 | 0.718750000000000 | 0.793103448275862 |
| opposite(121)        | 0.366666666666667 | 0.090909090909091 | 0.145695364238411 |
| outside_of(15)       | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| under(158)           | 0.820312500000000 | 0.664556962025316 | 0.734265734265734 |
------------------------------------------------------------------------------------
