Overall Accuracy:  0.5160415610745058
Overall Precision:  0.6939288268955651
Overall Recall:  0.6054738976178409
Overall F1 Score:  0.6466906426522566


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.428571428571429 | 0.113207547169811 | 0.179104477611940 |
| across(9)            |               nan | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.492063492063492 | 0.160621761658031 | 0.242187500000000 |
| along(18)            | 0.500000000000000 | 0.111111111111111 | 0.181818181818182 |
| around(12)           | 0.625000000000000 | 0.416666666666667 | 0.500000000000000 |
| at_the_level_of(316) | 0.527173913043478 | 0.306962025316456 | 0.388000000000000 |
| behind(504)          | 0.722070844686649 | 0.525793650793651 | 0.608495981630310 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.674418604651163 | 0.599173553719008 | 0.634573304157549 |
| in(21)               | 0.578947368421053 | 0.523809523809524 | 0.550000000000000 |
| in_front_of(477)     | 0.580712788259958 | 0.580712788259958 | 0.580712788259958 |
| near(1048)           | 0.757839721254355 | 0.830152671755725 | 0.792349726775956 |
| next_to(695)         | 0.656944444444444 | 0.680575539568345 | 0.668551236749117 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.845454545454545 | 0.726562500000000 | 0.781512605042017 |
| opposite(121)        | 0.354838709677419 | 0.090909090909091 | 0.144736842105263 |
| outside_of(15)       | 0.181818181818182 | 0.133333333333333 | 0.153846153846154 |
| under(158)           | 0.844262295081967 | 0.651898734177215 | 0.735714285714286 |
------------------------------------------------------------------------------------
