Overall Accuracy:  0.49884270991721574
Overall Precision:  0.6971433770014556
Overall Recall:  0.5802669369825985
Overall F1 Score:  0.6333583619638589


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.352941176470588 | 0.113207547169811 | 0.171428571428571 |
| across(9)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.411764705882353 | 0.181347150259067 | 0.251798561151079 |
| along(18)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| around(12)           | 0.625000000000000 | 0.416666666666667 | 0.500000000000000 |
| at_the_level_of(316) | 0.507092198581560 | 0.452531645569620 | 0.478260869565217 |
| behind(504)          | 0.681293302540416 | 0.585317460317460 | 0.629669156883671 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.701570680628272 | 0.553719008264463 | 0.618937644341801 |
| in(21)               | 0.588235294117647 | 0.476190476190476 | 0.526315789473684 |
| in_front_of(477)     | 0.631268436578171 | 0.448637316561845 | 0.524509803921569 |
| near(1048)           | 0.771456123432980 | 0.763358778625954 | 0.767386091127098 |
| next_to(695)         | 0.684552845528455 | 0.605755395683453 | 0.642748091603053 |
| none(6)              | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.869158878504673 | 0.726562500000000 | 0.791489361702128 |
| opposite(121)        | 0.375000000000000 | 0.074380165289256 | 0.124137931034483 |
| outside_of(15)       | 0.400000000000000 | 0.133333333333333 | 0.200000000000000 |
| under(158)           | 0.780000000000000 | 0.740506329113924 | 0.759740259740260 |
------------------------------------------------------------------------------------
