Overall Accuracy:  0.451545869234668
Overall Precision:  0.6495796783625731
Overall Recall:  0.523568170299037
Overall F1 Score:  0.5798062777027343


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.750000000000000 | 0.056603773584906 | 0.105263157894737 |
| across(9)            |               nan | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.384615384615385 | 0.077720207253886 | 0.129310344827586 |
| along(18)            |               nan | 0.000000000000000 | 0.000000000000000 |
| around(12)           | 0.800000000000000 | 0.333333333333333 | 0.470588235294118 |
| at_the_level_of(316) | 0.482233502538071 | 0.300632911392405 | 0.370370370370370 |
| behind(504)          | 0.669565217391304 | 0.458333333333333 | 0.544169611307420 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            | 1.000000000000000 | 0.100000000000000 | 0.181818181818182 |
| far_from(242)        | 0.612500000000000 | 0.404958677685950 | 0.487562189054726 |
| in(21)               | 0.800000000000000 | 0.190476190476190 | 0.307692307692308 |
| in_front_of(477)     | 0.644518272425249 | 0.406708595387841 | 0.498714652956298 |
| near(1048)           | 0.709861450692747 | 0.831106870229008 | 0.765714285714286 |
| next_to(695)         | 0.648255813953488 | 0.641726618705036 | 0.644974692697035 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.676470588235294 | 0.539062500000000 | 0.600000000000000 |
| opposite(121)        |               nan | 0.000000000000000 | 0.000000000000000 |
| outside_of(15)       | 0.500000000000000 | 0.066666666666667 | 0.117647058823529 |
| under(158)           | 0.682926829268293 | 0.531645569620253 | 0.597864768683274 |
------------------------------------------------------------------------------------
