Overall Accuracy:  0.5173593512417638
Overall Precision:  0.6897106109324759
Overall Recall:  0.6122909275215408
Overall F1 Score:  0.6486990025998481


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.400000000000000 | 0.113207547169811 | 0.176470588235294 |
| across(9)            |               nan | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.442748091603053 | 0.300518134715026 | 0.358024691358025 |
| along(18)            | 0.285714285714286 | 0.111111111111111 | 0.160000000000000 |
| around(12)           | 0.833333333333333 | 0.416666666666667 | 0.555555555555556 |
| at_the_level_of(316) | 0.474903474903475 | 0.389240506329114 | 0.427826086956522 |
| behind(504)          | 0.669421487603306 | 0.642857142857143 | 0.655870445344130 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.637168141592920 | 0.595041322314050 | 0.615384615384615 |
| in(21)               | 0.647058823529412 | 0.523809523809524 | 0.578947368421053 |
| in_front_of(477)     | 0.648148148148148 | 0.513626834381551 | 0.573099415204678 |
| near(1048)           | 0.763586956521739 | 0.804389312977099 | 0.783457249070632 |
| next_to(695)         | 0.667168674698795 | 0.637410071942446 | 0.651949963208241 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.873786407766990 | 0.703125000000000 | 0.779220779220779 |
| opposite(121)        | 0.600000000000000 | 0.049586776859504 | 0.091603053435115 |
| outside_of(15)       | 0.285714285714286 | 0.133333333333333 | 0.181818181818182 |
| under(158)           | 0.819548872180451 | 0.689873417721519 | 0.749140893470790 |
------------------------------------------------------------------------------------
