Overall Accuracy:  0.527099172157459
Overall Precision:  0.7074202743630857
Overall Recall:  0.6112603480317621
Overall F1 Score:  0.6558342570115163


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.666666666666667 | 0.150943396226415 | 0.246153846153846 |
| across(9)            |               nan | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.475000000000000 | 0.196891191709845 | 0.278388278388278 |
| along(18)            | 0.250000000000000 | 0.055555555555556 | 0.090909090909091 |
| around(12)           | 0.666666666666667 | 0.333333333333333 | 0.444444444444444 |
| at_the_level_of(316) | 0.516853932584270 | 0.436708860759494 | 0.473413379073756 |
| behind(504)          | 0.713253012048193 | 0.587301587301587 | 0.644178454842220 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            |               nan | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.699507389162562 | 0.586776859504132 | 0.638202247191011 |
| in(21)               | 0.478260869565217 | 0.523809523809524 | 0.500000000000000 |
| in_front_of(477)     | 0.703125000000000 | 0.471698113207547 | 0.564617314930991 |
| near(1048)           | 0.747280334728033 | 0.852099236641221 | 0.796255015604102 |
| next_to(695)         | 0.678518518518519 | 0.658992805755396 | 0.668613138686131 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.857142857142857 | 0.703125000000000 | 0.772532188841202 |
| opposite(121)        | 0.437500000000000 | 0.057851239669421 | 0.102189781021898 |
| outside_of(15)       | 0.142857142857143 | 0.066666666666667 | 0.090909090909091 |
| under(158)           | 0.795774647887324 | 0.715189873417722 | 0.753333333333333 |
------------------------------------------------------------------------------------
