Overall Accuracy:  0.516083797938841
Overall Precision:  0.6959628438728117
Overall Recall:  0.6031677648251393
Overall F1 Score:  0.6462511931126564


Label-Based Metrics:

------------------------------------------------------------------------------------
| Preposition          | Precision         | Recall            | F1                |
| above(53)            | 0.428571428571429 | 0.056603773584906 | 0.100000000000000 |
| across(9)            |               nan | 0.000000000000000 | 0.000000000000000 |
| against(193)         | 0.434782608695652 | 0.207253886010363 | 0.280701754385965 |
| along(18)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| around(12)           | 0.714285714285714 | 0.416666666666667 | 0.526315789473684 |
| at_the_level_of(316) | 0.472131147540984 | 0.455696202531646 | 0.463768115942029 |
| behind(504)          | 0.705583756345178 | 0.551587301587302 | 0.619153674832962 |
| beyond(1)            |               nan | 0.000000000000000 | 0.000000000000000 |
| below(10)            | 0.000000000000000 | 0.000000000000000 | 0.000000000000000 |
| far_from(242)        | 0.676190476190476 | 0.586776859504132 | 0.628318584070796 |
| in(21)               | 0.545454545454545 | 0.571428571428571 | 0.558139534883721 |
| in_front_of(477)     | 0.686468646864686 | 0.436058700209644 | 0.533333333333333 |
| near(1048)           | 0.745346869712352 | 0.840648854961832 | 0.790134529147982 |
| next_to(695)         | 0.661111111111111 | 0.684892086330935 | 0.672791519434629 |
| none(6)              |               nan | 0.000000000000000 | 0.000000000000000 |
| on(128)              | 0.884615384615385 | 0.718750000000000 | 0.793103448275862 |
| opposite(121)        | 0.380952380952381 | 0.066115702479339 | 0.112676056338028 |
| outside_of(15)       | 0.176470588235294 | 0.200000000000000 | 0.187500000000000 |
| under(158)           | 0.824427480916031 | 0.683544303797468 | 0.747404844290657 |
------------------------------------------------------------------------------------
